Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0070,ESTÁGIO SUPERVISIONADO EM ENGENHARIA ELÉTRICA,A,2021.1,EDUARDO PEIXOTO FERNANDES DA SILVA (180h),2M5 3M5 4M5 5M5 6M5 7M5 2T1 3T1 4T1 5T1 6T1 7T,0,36,A definir
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,C,2021.1,ALCIDES LEANDRO DA SILVA (90h),234567T,2,1,A definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,66,2021.1,RICARDO ZELENOVSKY (150h),23456M5 23456T,1,1,remoto
ENE0352,REDES LOCAIS,A,2021.1,WILLIAM FERREIRA GIOZZA (60h),46M12,30,20,FT BT-16/15
ENE0072,LABORATÓRIO DE INSTALAÇÕES ELÉTRICAS,D,2021.1,AMAURI GUTIERREZ MARTINS BRITTO (30h),6T45,12,5,SG-11 AT-49/14
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,D,2021.1,RAFAEL TIMOTEO DE SOUSA JUNIOR (90h),2N34 35N1,2,1,Remoto
ENE0332,TOPICOS EM ENGENHARIA,06,2021.1,ADOLFO BAUCHSPIESS (60h),46M34,30,11,virtual
ENE0276,METODOLOGIA E DESENVOLVIMENTO DE SOFTWARE,A,2021.1,RICARDO STACIARINI PUTTINI (60h),24T45,30,8,Remoto
ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,B,2021.1,PLINIO RICARDO GANIME ALVES (30h),2T45,12,11,SG-11 A1 34/15
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,C,2021.1,LUIS FERNANDO RAMOS MOLINARO (30h),6M12,21,11,A definir
ENE0004,CONTROLE DE PROCESSOS,A,2021.1,EDUARDO STOCKLER TOGNETTI (60h),2M12 4M12,50,43,FT BT-34/15
ENE0015,FUNDAMENTOS DE REDES 2,A,2021.1,FABIO LUCIO LOPES DE MENDONCA (60h),24M12,40,17,FT BT 43/15
ENE0048,LABORATÓRIO DE CONVERSÃO ELETROMECÂNICA DE ENERGIA,A,2021.1,ANESIO DE LELES FERREIRA FILHO (30h),3T23,10,7,SG-11 AT-47/14
ENE0071,INSTALAÇÕES ELÉTRICAS,B,2021.1,FRANCIS ARODY MORENO VASQUEZ (60h),35M34,20,9,FT BT-16/15
